MaxPitDepth,Time,pH,PipeSoilPotential,SoilResistivity,WaterContentpc,BulkDensity,DissolvedChloride,Bicarbonate,SulfateConcentration,RadoxPotential,CoatingType,Class
1.65,22,5.35,?0.88,87.4,23.1,1.19,7.92,19.42,59.19,288,WTC,C
1.17,20,5.29,?0.83,82.7,19.1,1.27,8.8,11.1,54.91,269,WTC,C
1.93,22,5.77,?0.96,79.3,17,1.19,7.92,11.1,71.59,233,WTC,C
0.94,20,6.01,?0.91,24.1,22.6,1.19,7.92,11.1,138.7,201,WTC,C
1.57,22,5.02,?0.96,72,20.3,1.25,12.49,16.55,172.3,180,WTC,C
1.57,19,6.96,?1.07,65,30.3,1.28,15.89,11.97,168,220,WTC,C
2.21,29,5.35,?1.05,34.5,21.7,1.26,13.33,13.87,308.4,190,CTC,C
1.17,18,5.99,?0.99,123.1,13.4,1.3,6.62,5.55,60.47,189,WTC,C
1.17,20,6.11,?0.80,87.8,20.1,1.22,12.33,16.65,54.85,150,CTC,C
1.57,19,5.43,?1.10,149.2,20.4,1.2,17.09,11.1,61.99,299,NC,C
0.41,20,5.57,?1.10,221,13.7,1.28,8.27,5.55,255.1,290,WTC,C
1.04,18,5.78,?1.10,65,21.6,1.25,17.09,17.74,53.56,133,WTC,C
1.57,15,5.93,?1.13,99.5,23.4,1.27,15.72,5.55,57.66,199,WTC,C
2.74,20,5.01,?0.81,43.6,25.3,1.19,27.75,5.55,27.81,74,WTC,C
0.41,15,6.48,?1.05,161.2,16.6,1.27,9.93,19.42,93.05,274,WTC,C
1.04,20,7.01,?0.98,15.1,34,1.19,14.06,11.1,184.3,85,WTC,C
0.41,15,6.84,?1.23,90.9,20.8,1.27,7.44,12.65,111.5,163,WTC,C
0.92,18,5.99,?0.94,104,13.4,1.3,9.72,5.55,66.47,189,WTC,C
0.94,20,6.01,?0.78,85.8,20.1,1.22,12.83,16.65,89.85,150,WTC,C
0.91,17,5.23,?1.02,139.2,20.4,1.2,17.86,11.1,128,209,WTC,C
0.91,20,5.7,?1.10,151,13.7,1.28,9.27,5.55,185.1,259,CTC,C
0.94,18,5.79,?1.10,65,21.6,1.25,17.94,15.74,148.6,233,WTC,C
0.91,16,5.56,?0.83,19.3,27,1.25,14.4,5.55,192.3,240,WTC,C
